Model,Feature,Importance
Decision Tree,Last_Login_Days_Ago,0.6636401281013511
Decision Tree,Support_Tickets,0.1933159022025431
Decision Tree,Avg_Monthly_Transactions,0.14304396969610533
Decision Tree,Age,5.254596560095689e-16
Decision Tree,Account_Age_Months,0.0
Decision Tree,Feature_Usage_Score,0.0
Decision Tree,Avg_Monthly_Revenue,0.0
Gradient Boosting,Last_Login_Days_Ago,0.4342115129684956
Gradient Boosting,Avg_Monthly_Transactions,0.19661767919467898
Gradient Boosting,Support_Tickets,0.19621966770633095
Gradient Boosting,Feature_Usage_Score,0.06910773116774142
Gradient Boosting,Account_Age_Months,0.06375007321015735
Gradient Boosting,Avg_Monthly_Revenue,0.029790536601657244
Gradient Boosting,Age,0.010302799150938442
